Team,Conference,Division,GP,PPG,OPPG,PDIFF,PACE,OEFF,DEFF,EDIFF,SOS,SAR,CONS,A4F,WINS,LOSS,WIN%,pWIN%,eWIN%,ACH,Year
Atlanta,East,Southeast,66,96.6,93.2,3.4,90.2,104.9,101.2,3.7,0.1,3.8,15.4,0.015,40,26,0.606,0.612,0.595,0.011,2012
Boston,East,Atlantic,66,91.8,89.3,2.5,90.3,101.1,98.3,2.8,-0.91,1.89,14.6,0.051,39,27,0.591,0.582,0.576,0.015,2012
Charlotte,East,Southeast,66,87,100.9,-13.9,91.1,95.1,110.4,-15.3,1.34,-13.96,13.7,-0.117,7,59,0.106,0.042,0.132,-0.026,2012
Chicago,East,Central,66,96.3,88.2,8.1,89.1,107.4,98.3,9.1,-1.89,7.21,15,0.087,50,16,0.758,0.767,0.728,0.03,2012
Cleveland,East,Central,66,93,100.2,-7.2,91.3,101.1,108.9,-7.8,0.48,-7.32,15,-0.056,21,45,0.318,0.263,0.302,0.016,2012
Dallas,West,Southwest,66,95.8,94.8,1,91.4,103.3,102.3,1,-0.22,0.78,13.6,0.004,36,30,0.545,0.533,0.529,0.016,2012
Denver,West,Northwest,66,104.1,101.2,2.9,94.1,109.2,106.2,3,-0.49,2.51,13.8,0.014,38,28,0.576,0.595,0.586,-0.01,2012
Detroit,East,Central,66,90.9,95.7,-4.8,89.2,101,106.4,-5.4,-0.35,-5.75,16.7,-0.04,25,41,0.379,0.342,0.373,0.006,2012
Golden State,West,Pacific,66,97.8,101.2,-3.4,92.3,105.4,109.1,-3.7,0.08,-3.62,13.4,-0.009,23,43,0.348,0.388,0.391,-0.043,2012
Houston,West,Southwest,66,98.1,97.9,0.2,91.6,105.5,105.3,0.2,-0.28,-0.08,12.7,0.001,34,32,0.515,0.507,0.506,0.009,2012
Indiana,East,Central,66,97.7,94.4,3.3,90.7,106.7,103.1,3.6,-0.14,3.46,14,-0.01,42,24,0.636,0.609,0.601,0.035,2012
LA Clippers,West,Pacific,66,97.5,95,2.5,89.1,108.6,105.7,2.9,0.04,2.94,13.1,0.006,40,26,0.606,0.582,0.587,0.019,2012
LA Lakers,West,Pacific,66,97.3,95.9,1.4,90.5,106,104.4,1.6,0.14,1.74,11.9,0.074,41,25,0.621,0.546,0.554,0.067,2012
Memphis,West,Southwest,66,95,93,2,90.8,104,101.8,2.2,-0.66,1.54,12.5,-0.043,41,25,0.621,0.566,0.57,0.051,2012
Miami,East,Southeast,66,98.5,92.5,6,91.2,106.7,100.2,6.5,-0.05,6.45,15.1,0.024,46,20,0.697,0.698,0.667,0.03,2012
Milwaukee,East,Central,66,99,98.7,0.3,93.7,105.5,105.2,0.3,-0.37,-0.07,13.9,-0.035,31,35,0.47,0.51,0.509,-0.039,2012
Minnesota,West,Northwest,66,97.9,100.1,-2.2,93.3,104.3,106.6,-2.3,-0.64,-2.94,11.7,0,26,40,0.394,0.428,0.422,-0.028,2012
Brooklyn,East,Atlantic,66,93.1,99.1,-6,90.1,103,109.6,-6.6,0.82,-5.78,13.2,-0.061,22,44,0.333,0.302,0.309,0.024,2012
New Orleans,West,Southwest,66,89.6,93.4,-3.8,88.3,100.9,105.1,-4.2,0.33,-3.87,11.7,0.009,21,45,0.318,0.375,0.359,-0.041,2012
New York,East,Atlantic,66,97.8,94.7,3.1,93.1,104.4,101,3.4,-0.56,2.84,15.1,-0.002,36,30,0.545,0.602,0.589,-0.044,2012
Oklahoma City,West,Northwest,66,103.1,96.9,6.2,93,109.8,103.3,6.5,-0.34,6.16,11.1,0.108,47,19,0.712,0.704,0.721,-0.009,2012
Orlando,East,Southeast,66,94.2,93.4,0.8,89,104.9,104.1,0.8,-0.3,0.5,15.5,0.049,37,29,0.561,0.526,0.521,0.04,2012
Philadelphia,East,Atlantic,66,93.6,89.4,4.2,89.6,104,99.2,4.8,-2.23,2.57,17.3,0,35,31,0.53,0.638,0.609,-0.079,2012
Phoenix,West,Pacific,66,98.4,98.6,-0.2,92.6,106.3,106.5,-0.2,0.97,0.77,13.9,0.01,33,33,0.5,0.493,0.494,0.006,2012
Portland,West,Northwest,66,97.2,97.8,-0.6,91.2,105.8,106.5,-0.7,0.12,-0.58,17,-0.038,28,38,0.424,0.48,0.484,-0.06,2012
